married / was married,couple,any relation,respondent gender,couple gender,interracial couple,respondent age,partner age,education gap,couple salary gap,couple political stability,meeting interface,try app service,relation duration [year],relation quality
,0.0,0.0,0,,,0,,,,,,,,
1.0,1.0,,0,0,,4,4.0,2.0,1,4.0,,,33.33,2
1.0,1.0,,1,0,,4,5.0,1.0,3,6.0,1.0,,29.83,2
1.0,1.0,,0,0,,5,1.0,4.5,1,3.0,,,3.5,1
1.0,1.0,,1,0,,4,2.0,7.0,1,6.0,0.0,,6.5,1
1.0,1.0,,1,0,,4,5.0,3.0,3,5.0,1.0,,12.42,1
1.0,1.0,,1,0,,1,1.0,0.0,3,6.0,,,0.58,5
1.0,1.0,,0,0,,5,5.0,0.0,2,5.0,4.0,,49.33,1
,1.0,,1,0,,7,5.0,0.0,2,5.0,,,47.58,2
,0.0,0.0,1,,,2,,,,,,,,
,1.0,,1,0,,1,1.0,0.0,3,4.0,4.0,,3.42,1
1.0,1.0,,0,0,,3,2.0,0.0,3,5.0,1.0,,17.25,1
1.0,1.0,,0,0,,4,4.0,1.0,1,6.0,4.0,,31.33,1
1.0,1.0,,0,0,,2,2.0,0.0,3,5.0,,,11.92,2
,1.0,,0,0,,4,4.0,4.0,3,4.0,,1.0,25.0,2
1.0,1.0,,1,0,,3,3.0,0.0,1,3.0,0.0,,,2
,1.0,,1,0,,1,2.0,3.0,3,0.0,,1.0,6.25,2
1.0,1.0,,1,0,,3,3.0,4.5,3,4.0,,,25.92,1
1.0,1.0,,1,0,,3,4.0,0.0,3,6.0,4.0,,23.67,1
,1.0,,0,1,,4,5.0,0.0,4,5.0,,1.0,24.08,2
,1.0,,1,0,,5,5.0,3.0,4,5.0,0.0,,6.0,2
0.0,0.0,1.0,1,0,,1,2.0,0.0,2,5.0,1.0,,1.08,
0.0,0.0,1.0,1,0,,2,3.0,4.0,2,5.0,0.0,1.0,1.33,
0.0,0.0,1.0,0,1,,3,,0.0,1,3.0,4.0,,,
0.0,0.0,1.0,1,0,,1,1.0,3.0,1,5.0,0.0,,1.08,
1.0,1.0,,0,0,,4,4.0,0.0,1,6.0,4.0,,26.0,2
1.0,1.0,,1,0,,6,7.0,1.0,2,6.0,5.0,,37.0,1
,1.0,,1,0,,1,1.0,1.0,3,2.0,0.0,,2.58,1
1.0,1.0,,1,0,,3,3.0,0.0,3,5.0,0.0,,6.83,3
1.0,1.0,,0,0,,7,7.0,0.0,1,6.0,3.0,,65.0,2
,1.0,,0,0,,4,3.0,4.0,3,5.0,0.0,,4.92,2
1.0,1.0,,0,0,,2,2.0,1.0,1,4.0,4.0,,10.08,1
1.0,1.0,,1,0,,2,3.0,1.0,3,6.0,,,8.25,1
1.0,1.0,,1,0,,5,5.0,0.0,3,4.0,4.0,,46.5,1
1.0,1.0,,0,0,,6,6.0,5.0,2,6.0,,,54.92,1
1.0,1.0,,1,0,,4,4.0,2.0,3,6.0,5.0,,28.25,1
,1.0,,1,0,,2,2.0,0.0,3,5.0,4.0,,8.83,1
,0.0,0.0,0,,,1,,,,,,,,
1.0,1.0,,1,0,,4,4.0,1.0,3,5.0,,,35.33,1
0.0,0.0,1.0,0,0,,4,3.0,0.0,1,3.0,,,0.25,
1.0,1.0,,0,0,,6,5.0,3.0,1,5.0,1.0,,31.08,1
0.0,0.0,1.0,0,1,,2,2.0,3.0,3,3.0,,1.0,1.5,
1.0,1.0,,1,0,,6,4.0,1.0,0,6.0,,,55.83,2
,1.0,,0,1,,6,1.0,4.0,1,3.0,3.0,1.0,1.42,2
1.0,1.0,,0,0,,3,4.0,2.0,1,4.0,,,9.42,2
1.0,1.0,,0,0,,4,4.0,1.0,1,5.0,3.0,,38.5,2
,0.0,0.0,1,,,2,,,,,,,,
0.0,0.0,1.0,0,0,,2,1.0,0.0,1,6.0,3.0,,1.42,
1.0,1.0,,1,0,,4,4.0,0.0,2,6.0,5.0,,32.0,1
1.0,1.0,,1,0,,4,5.0,1.0,1,3.0,1.0,,34.92,2
1.0,1.0,,0,0,,4,4.0,1.0,1,6.0,,,38.33,1
1.0,1.0,,1,0,,5,5.0,1.0,3,6.0,,,37.83,1
1.0,1.0,,0,0,,3,3.0,1.0,4,6.0,4.0,,21.0,2
1.0,1.0,,0,0,,1,1.0,3.0,1,5.0,,1.0,11.08,3
1.0,1.0,,0,0,,1,1.0,1.0,1,6.0,,,5.83,2
0.0,0.0,1.0,1,0,,3,4.0,2.0,3,,,,2.0,
1.0,1.0,,1,0,,8,8.0,0.0,2,6.0,4.0,,75.17,1
1.0,1.0,,0,0,,3,3.0,0.0,0,4.0,,,46.5,0
1.0,1.0,,1,0,,1,1.0,1.0,3,6.0,1.0,,7.17,1
1.0,1.0,,1,0,,4,5.0,1.0,3,4.0,3.0,,38.33,1
1.0,1.0,,0,0,,2,2.0,1.0,1,6.0,5.0,,21.92,2
1.0,0.0,1.0,0,0,,5,3.0,1.0,3,5.0,5.0,,,
1.0,1.0,,0,0,,6,6.0,4.0,1,6.0,,,32.33,1
1.0,1.0,,0,0,,3,3.0,0.0,1,2.0,3.0,,24.75,2
0.0,0.0,1.0,1,0,,1,1.0,0.0,2,1.0,4.0,,2.0,
1.0,1.0,,0,0,,6,6.0,1.0,4,5.0,4.0,,36.83,1
1.0,1.0,,0,0,,4,4.0,4.0,1,6.0,2.0,,30.5,1
1.0,1.0,,1,2,,3,3.0,0.0,3,6.0,0.0,,14.83,1
,0.0,0.0,1,,,1,,,,,,,,
0.0,0.0,1.0,0,0,,1,1.0,0.0,3,4.0,0.0,,1.58,
1.0,1.0,,1,0,,4,4.0,0.0,3,4.0,3.0,,36.08,1
1.0,1.0,,0,0,,6,5.0,1.0,1,6.0,3.0,,38.92,2
1.0,1.0,,1,0,,3,3.0,0.0,1,6.0,1.0,,18.58,1
,0.0,0.0,0,,,1,,,,,,,,
1.0,1.0,,0,0,,4,3.0,6.5,3,5.0,0.0,,16.25,2
0.0,0.0,1.0,0,0,,3,3.0,4.5,2,0.0,,,1.25,
1.0,1.0,,0,0,,3,2.0,2.0,1,5.0,,,4.08,5
1.0,1.0,,0,0,,6,6.0,0.0,1,5.0,4.0,,54.0,1
1.0,1.0,,1,0,,5,5.0,0.0,3,5.0,1.0,,43.0,1
,0.0,0.0,0,,,1,,,,,,,,
1.0,1.0,,0,0,,6,5.0,1.0,1,5.0,1.0,,42.25,2
1.0,1.0,,1,0,,7,,1.0,3,5.0,,,64.08,0
1.0,0.0,1.0,0,0,,5,4.0,1.0,3,3.0,3.0,,,
1.0,1.0,,0,0,,4,4.0,4.0,1,3.0,5.0,,29.92,1
1.0,1.0,,0,0,,3,3.0,4.0,2,6.0,0.0,,10.58,1
1.0,1.0,,0,0,,2,3.0,1.0,3,5.0,,,21.75,2
1.0,1.0,,0,0,,5,4.0,2.0,1,2.0,,,37.0,1
,1.0,,0,0,,4,4.0,0.0,3,3.0,0.0,1.0,0.0,3
1.0,1.0,,1,0,,5,6.0,4.0,3,5.0,,,41.83,1
1.0,1.0,,1,0,,3,4.0,3.0,1,5.0,3.0,,10.67,1
1.0,0.0,1.0,1,0,,5,,3.0,2,,3.0,,,
1.0,1.0,,1,0,,5,5.0,4.0,4,4.0,2.0,,50.0,2
1.0,1.0,,1,0,,5,4.0,0.0,2,5.0,,,30.58,2
1.0,1.0,,1,0,,2,2.0,2.0,3,5.0,3.0,,16.67,1
,1.0,,0,0,,7,6.0,3.0,1,5.0,,,0.33,1
1.0,1.0,,1,0,,6,6.0,3.0,3,4.0,,,54.75,1
1.0,0.0,1.0,1,0,,3,3.0,1.0,1,5.0,1.0,,,
1.0,0.0,1.0,0,0,,5,4.0,0.0,1,3.0,5.0,,,
1.0,1.0,,1,0,,3,2.0,0.0,1,4.0,3.0,,8.17,1
1.0,1.0,,1,0,,3,3.0,0.0,1,6.0,4.0,,23.83,1
1.0,1.0,,1,0,,4,4.0,4.0,3,4.0,1.0,,32.0,1
,0.0,0.0,0,,,1,,,,,,,,
1.0,1.0,,0,0,,6,5.0,2.0,3,4.0,,,35.17,1
0.0,0.0,1.0,1,0,,1,3.0,1.0,1,2.0,4.0,,1.17,
1.0,1.0,,0,0,,5,5.0,3.0,1,4.0,,1.0,41.33,2
1.0,1.0,,0,0,,5,4.0,3.0,3,4.0,1.0,,26.5,1
1.0,1.0,,1,0,,7,7.0,0.0,3,4.0,3.0,,62.92,1
,0.0,0.0,0,,,1,,,,,,,,
1.0,1.0,,0,0,,4,5.0,2.0,4,6.0,3.0,,27.0,1
1.0,1.0,,0,0,,4,5.0,1.0,1,4.0,3.0,,21.33,1
,1.0,,0,0,,5,5.0,1.0,1,5.0,,,5.33,1
1.0,1.0,,1,0,,6,6.0,1.0,3,6.0,3.0,,54.83,1
,1.0,,1,0,,3,2.0,2.0,3,4.0,4.0,1.0,23.17,2
1.0,1.0,,0,0,,5,5.0,1.0,1,5.0,,,42.92,1
1.0,1.0,,0,0,,4,4.0,1.0,2,4.0,2.0,,35.42,1
,1.0,,1,0,,1,1.0,0.0,3,5.0,4.0,1.0,5.42,1
1.0,1.0,,0,0,,6,5.0,1.0,1,5.0,1.0,,32.25,3
,1.0,,1,2,,2,2.0,0.0,1,5.0,3.0,1.0,4.58,2
1.0,1.0,,0,0,,2,2.0,1.0,1,6.0,4.0,,17.08,2
,1.0,,0,0,,1,1.0,2.0,3,6.0,2.0,,1.08,2
1.0,1.0,,0,0,,4,3.0,1.0,1,5.0,0.0,,2.58,1
